factor,metric,mean_delta_on_minus_off,bootstrap_mean_95_ci,wins_gt_0.01,losses_lt_neg_0.01,ties_abs_le_0.01,n_queries,excluded_query_ids_due_to_missing_score
hyde,faithfulness,0.0436,"{'lower': -0.0262, 'upper': 0.1153}",24,21,15,60,[]
hyde,answer_relevancy,0.0805,"{'lower': 0.011, 'upper': 0.1514}",29,15,16,60,[]
hyde,context_precision,-0.0343,"{'lower': -0.0932, 'upper': 0.0247}",17,23,20,60,[]
hyde,context_recall,0.0,"{'lower': -0.1, 'upper': 0.1}",4,4,52,60,[]
