"지표","평균 변화 ON-OFF","95% CI","Win","Loss","Tie","n"
"faithfulness","0.0288","{'lower': -0.0367, 'upper': 0.0934}","21","24","13","58"
"answer_relevancy","-0.0073","{'lower': -0.0855, 'upper': 0.0719}","19","32","9","60"
"context_precision","-0.0092","{'lower': -0.0306, 'upper': 0.0077}","4","4","52","60"
"context_recall","-0.0167","{'lower': -0.05, 'upper': 0.0}","0","1","59","60"
