"비교","쌍 수","한국어 문자 비율 평균 변화","95% CI","증가/감소/동률"
"전체 ON/OFF 대응","240","0.2289","[+0.2051, +0.2532]","219 / 10 / 11"
"HyDE OFF 동일 문맥","120","0.2182","[+0.1880, +0.2487]","see analysis artifact"
