"지표","평균 변화 ON-OFF","95% CI","Win","Loss","Tie","n"
"faithfulness","0.0436","{'lower': -0.0262, 'upper': 0.1153}","24","21","15","60"
"answer_relevancy","0.0805","{'lower': 0.011, 'upper': 0.1514}","29","15","16","60"
"context_precision","-0.0343","{'lower': -0.0932, 'upper': 0.0247}","17","23","20","60"
"context_recall","0","{'lower': -0.1, 'upper': 0.1}","4","4","52","60"
